author,hit_name,institute,research_area
Bence Mark Halpern,Bence Márk Halpern,"PhD student, Netherlands Cancer Institute, University of Amsterdam, TU Delft","pathological speech,speech synthesis,speech recognition,speech analysis"
Lester Phillip Violeta,Lester Phillip Violeta,Nagoya University,"speech recognition,deep learning"
Odette Scharenborg,Odette Scharenborg,"Associate professor & Delft Technology Fellow, Delft University of Technology, The Netherlands","speech processing,automatic speech recognition,deep neural networks,artificial intelligence,human speech processing"
Tomoki Toda,Tomoki Toda,Nagoya University,"signal processing,speech processing,speech synthesis"
Michael E. Sander,Michael E. Sander,Ecole Normale Supérieure,"applied mathematics,machine learning,optimal transport,differential equations"
Pierre Ablin,Pierre Ablin,"CNRS, Université Paris-Dauphine, Université PSL","optimization,machine learning,statistics"
Mathieu Blondel,Mathieu Blondel,Google,machine learning
Gabriel Peyré,Gabriel Peyré,"CNRS, DMA, Ecole Normale Supérieure","applied mathematics,imaging sciences,machine learning"
Nicolas Webersinke,,,
Mathias Kraus,Mathias Kraus,FAU Erlangen-Nuremberg,"health analytics,machine learning,decision support systems,operations research,interpretable ai"
Julia Anna Bingler,Julia Anna Bingler,ETH Zurich,"economics,climate change,financial risk management"
Markus Leippold,Markus Leippold,"University of Zurich, Department of Banking and Finance","finance,financial economics,mathematical finance"
Markos Viggiato,Markos Viggiato,"PhD candidate, University of Alberta","machine learning,natural language processing,computer games,software engineering"
Dale Paas,,,
Chris Buzon,,,
Cor-Paul Bezemer,Cor-Paul Bezemer,"ASGAARD (Analytics of Software, Games and Repository Data) lab - University of Alberta","software engineering,mining software repositories,performance engineering,computer games"
Diyi Yang,Diyi Yang,Georgia Tech,"computational social science,natural language processing,social computing,machine learning"
Yuxian Meng,Yuxian Meng,Shannon.AI,nlp
Omar Mohamed,Omar Mohammed,Iraq,computer
Salah A. Aly,Salah A. Aly  Ahmed,Associate Professor,"artificial intelligence,algorithms,quantum computing,natural language processing"
Christian Guetl,Christian Guetl,"Associated Professor and Head of CoDiS Group at ISDS, Graz University of Technology, Austria","e-education,e-assessment,isr,nlp,xr"
István Ketykó,István Ketykó,PhD student @ TU/e,"machine learning,data science"
Felix Mannhardt,Felix Mannhardt,Assistant Professor Eindhoven University of Technology,"process mining,business process management,process analytics,event logs,information systems"
Marwan Hassani,Marwan Hassani,Assistant Professor of Computer Science at Eindhoven University of Technology,"stream data mining,process mining,data science,big data"
Boudewijn van Dongen,Boudewijn van Dongen,"Professor of Computer Science, Eindhoven University of Technology","process mining,process modelling,workflow modeling,petri nets"
Helen Ngo,Helen Ngo,Deakin University,"phenomenology,critical philosophy of race,feminist philosophy,continental philosophy"
João G. M. Araújo,João  GM Araújo,"Machine Learning, Cohere","reinforcement learning,natural language processing"
Jeffrey Hui,Jeffrey Hui,Google X,"language models,artificial intelligence,software engineering,deep learning"
Nicholas Frosst,Nicholas Frosst,Unknown affiliation,"machine learning,neural networks"
Weiqiang Jin,,,
Feng Zhang,Feng Zhang,HHMI / Massachusetts Institute of Technology / Broad Institute of MIT and Harvard,"neuroscience,microbiology,optogenetics,genome engineering"
Xiaotong Zhang,Xiaodong Zhang,The Ohio State University,"memory systems,storage systems,computer systems"
Siyang Zhao,Siyang Zhao,浙江大学电气工程学院,power electronics
Xianchao Zhang,Xianchao Zhang,Dalian University of Technology,"machine learning,data mining."
Junchen Lu,Junchen Lu,National University of Singapore,"machine learning,speech synthesis,voice conversion"
Berrak Sisman,Berrak Sisman,Singapore University of Technology and Design,"machine learning,speech synthesis,emotion,tts,voice conversion"
Mingyang Zhang,Mingyang Zhang,"Professor, Soochow University",
Xiangyang Liu,Xiangyang Liu,University of Xian Jiaotong,"solubility,viscosity,heat capacity,thermodynamics,gas separation"
Tianxiang Sun,Tianxiang Sun (孙天祥),Fudan University,"natural language processing,machine learning"
Junliang He,Junliang He,Shanghai Maritime University,logistics management
Jiawen Wu,Jiawen Wu,"School of Physical and Mathematical Sciences, Nanyang Technological University; Fudan University; the University of Chicago","electrocatalysis,flexible energy storage devices"
Lingling Wu,Lingling Wu,"Institute of Molecular Medicine, School of Medicine, Shanghai Jiao Tong University","liquid biopsy,single cell analysis,microfluidics,nanotechnology"
Xinyu Zhang,Xinyu Zhang,University of California San Diego,"wireless networking,wireless sensing,millimeter-wave,software radio,5g"
Hao Jiang,Hao Jiang,"Professor of SMSE, East China University of Science and Technology","energy storage,structural control,nanomaterials"
Zhao Cao,Zhao Cao,Huawei,"information retrieval,big data,database"
Xuanjing Huang,Huang Xuanjing,"Professor of Computer Science, Fudan University","natural language processing,information retrieval"
Xipeng Qiu,Xipeng Qiu（邱锡鹏）,"Professor of Computer Science, Fudan University","natural language processing,deep learning,artificial intelligence,machine learning"
Ke Zhan,Kun Zhan,Lanzhou University,"learning,vision"
Jianwei Qu,,,
Yongkang Wu,Yongkang Wu,University of Massachusetts Amherst,geotechnical engineering
Zhaoye Fei,zhaoye fei,Fudan University,natural language processing
Zhicheng Dou,Zhicheng Dou,Clemson University,"molecular parasitology,molecular biology,biochemistry"
Zikai Guo,,,
Ruofei Lai,Ruofei Lai,Huawei,nlp
Enrui Hu,,,
Yinxia Zhang,,,
Yantao Jia,,,
Fan Yu,Fan Yu,"Professor of Financial Economics, Claremont McKenna College","credit risk,derivatives,fixed income securities"
Sikai Chen,Sikai Chen,Purdue University,"autonomous vehicle,artificial intelligence,reinforcement learning,econometrics and statistics,highway safety"
Jiqian Dong,Jiqian Dong,Purdue University,"machine learning,autonomous vehicles,robotics"
Runjia Du,Runjia Du,Purdue University,
Yujie Li,Yujie Li,AIST,"sparse representation,machine learning"
Samuel Labi,Samuel Labi,Purdue University,"connected & autonomous vehicles,infrastructure asset management,transportation project evaluation"
Gabriel Poesia,Gabriel Poesia,Stanford University,"program synthesis,artificial intelligence,human-computer interaction"
Robert Hawkins,Robert Hawkins,"Cancer Studies, University of Manchester","kidney cancer,immunotherapy,gene therapy,adoptive cell therapy,engineered t-cell therapy"
Dorsa Sadigh,Dorsa Sadigh,Stanford University,"robotics,human-robot interaction,machine learning,artificial intelligence,control theory"
Pooja Sethi,Pooja Sethi,Assistant Professor of Cardiology,"cardiology,internal medicine"
Denis Savenkov,Denis Savenkov,"Research Scientist, Facebook","question answering,natural language understanding,dialog"
Forough Arabshahi,Forough Arabshahi,"Research Scientist, Facebook",machine learning
Jack Goetz,Jack Goetz,Meta,"ai/ml,nlp,federated learning,active learning"
Micaela Tolliver,,,
Nicolas Scheffer,Nicolas Schaeffer,Unknown affiliation,"nanotechnologies,polymers,materials"
Ilknur Kabul,Ilknur Kaynar-Kabul,"Engineering Manager, Facebook","machine learning,data mining,medical imaging,visualization"
Yue Liu,Yue Liu,Unknown affiliation,"transportation engineering,cloud computing"
Ahmed Aly,Ahmed M. Aly,Facebook,database systems
Zhongjie Ye,Zhongjie Ye,Peking University,"audio caption,multi-modal learning"
Helin Wang,Helin Wang,Shenzhen University,"perovskite solar cell,organice solar cell"
Dongchao Yang,Dongchao Yang,Peking University,"sound event detection,speech/sound extraction,speech/sound generation"
Peng Cui,Peng Cui,"Department of Computer Science, Tsinghua University","data mining,machine learning,multimedia"
Dongyao Hu,,,
Le Hu,Lehu Wen,"University of Kent, School of Engineering and Digital Arts",antennas
Mohr Wenger,,,
Tom Kalir,,,
Noga Berger,,,
Carmit Chalamish,,,
Renana Keydar,Renana Keydar,The Hebrew University of Jerusalem,"law,literature,law and data,digital humanities"
Gabriel Stanovsky,Gabriel Stanovsky,The Hebrew University of Jerusalem,computational linguistics
Dejiao Zhang,Dejiao Zhang,"Applied Scientist, AWS AI, Amazon","deep learning,machine learning,natural language processing"
Izzat Alsmadi,Izzat Alsmadi,Texas A&M San Antonio,"software engineering,software defined networking,software testing and cyber security,cyber analytics,adversarial machine lea"
Kashif Ahmad,Kashif Ahmad,"Munster Technological University, Cork, Ireland","pattern recognition,multimedia analytics,nlp"
Mahmoud Nazzal,Mahmoud Nazzal,IEEE,"signal processing,sparse representation,dictionary learning,channel modeling and estimation in 5g and beyond,spectrum sensin"
Firoj Alam,Firoz Alam,RMIT University,"aerodynamics,energy,energy policy,engineering education curriculum design,quality assurance & accreditation"
Ala Al-Fuqaha,Ala Al-Fuqaha,Hamad Bin Khalifa University (CSE-ICT) and Western Michigan University,"computer networks,internet of things,smart services,network management,network planning"
Abdallah Khreishah,Abdallah Khreishah,New Jersey Institute of Technology,
Abdulelah Algosaibi,Abdulelah A. Algosaibi,King Faisal University,"semantic web,ontology engineering,artificial intelligence"
Ravi Krishna,RV Ravikrishna,Indian Institute of Science,"combustion,atomization & sprays,laser diagnostics,energy systems"
Aravind Kalaiah,Aravind Kalaiah,Cerebras Systems,"artificial intelligence,computer vision,computer graphics,parallel computing"
Bichen Wu,Bichen Wu,"Meta Reality Labs, UC Berkeley","ai,computer vision,efficient deep learning"
Maxim Naumov,Maxim Naumov,Meta (Sr. Manager & Research Scientist),"parallel algorithms,numerical linear algebra,numerical optimization,graphs,deep learning"
Dheevatsa Mudigere,Dheevatsa Mudigere,"Principal Research Scientist, Meta","scientific computing,deep learning,applied numerical methods,high performance computing,cfd"
Misha Smelyanskiy,,,
Narges Farokhshad,,,
Milad Molazadeh,,,
Saman Jamalabbasi,Saman Jamalabbasi,Part AI Research Center,"natural language processing,deep reinforcement learning,time series prediction,cryptocurrency"
Hamed Babaei Giglou,Hamed Babaei Giglou,NLP Researcher,"machine learning,natural language processing,information retrieval,deep learning"
Saeed Bibak,Saeed Bibak,Unknown affiliation,nlp
Jindřich Libovický,Jindřich Libovický,Charles University,"natural language processing,multilinguality,neural machine translation,language and vision"
Helmut Schmid,Helmut Schmid,"Associate Professor, Ludwig-Maximilians-Universität München",natural language processing
Alexander Fraser,Alexander Fraser,"Center for Information and Language Processing, University of Munich (LMU)","machine translation,natural language processing,machine learning,information retrieval"
Aditya Sanghi,Aditya Sanghi,"University Of Toronto, Autodesk","machine learning,geometry processing"
Hang Chu,Hang Chu,Autodesk AI Lab,computer vision
Joseph G. Lambourne,Joseph G Lambourne,"Senior Principal AI Researcher, Autodesk AI Lab","computational geometry,machine learning"
Ye Wang,Ye Wang,Xiamen University,"chemistry,catalysis,chemical engineering,energy"
Chin-Yi Cheng,Chin-Yi Cheng,Google Research,"computer vision,computer graphics,design,human-computer interaction,machine learning"
Marco Fumero,Marco Fumero,"Phd student, Sapienza university of Rome","geometry processing,geometric deep learning,computer vision"
Kamal Rahimi Malekshan,Kamal Rahimi Malekshan,"PhD, University of Waterloo","wireless communication networks,medium access control (mac),transmission power control (tpc),power management,multiuser mimo"
Kamal Choudhary,Kamal Choudhary,National Institute of Standards and Technology,"computational material science,machine learning,quantum simulations,materials design,materials informatics"
Brian DeCost,Brian L. DeCost,National Institute of Standards and Technology,"materials science,applied machine learning"
Chi Chen,Chi Chen,"Professor, University of Minnesota","metabolomics,biochemistry,toxicology,drug metabolism,chemoprevention"
Francesca Tavazza,Francesca Tavazza,National Institute of Standards and Technology,"material science,machine learning,dft,uq"
Ryan Cohn,Ryan Cohn,"Doctoral Candidate, Carnegie Mellon University","computer vision,microstructure modeling,instance segmentation,graph neural networks,neural message passing"
Cheol WooPark,Cheol Woo Park,"School of Mechanical Engineering, Kyungpook National University",
Alok Choudhary,Alok Choudhary,Professor Northwestern University,"data science,ai/ml,supercomputing,business intelligence,marketing"
Ankit Agrawal,Ankit Agrawal,"Research Professor, Northwestern University","artificial intelligence,high performance data mining,materials informatics,healthcare informatics,social media analytics"
Simon J. L. Billinge,Simon JL Billinge,Columbia University and Brookhaven National Laboratory,"nanomaterials,atomic pair distribution function analysis,materials science,condensed matter physics,local structure"
Elizabeth Holm,Elizabeth A. Holm,Carnegie Mellon University,"computational materials science,microstructural science,microstructural evolution,computer vision,data science"
Shyue Ping Ong,Shyue Ping Ong,University of California San Diego,"data-driven materials design,first principles calculations,materials informatics,machine learning,artificial intelligence"
Chris Wolverton,Chris Wolverton,"Professor of Materials Science and Eng., Northwestern University","computational materials science,materials informatics,energy materials,materials discovery,materials design"
Tam Nguyen,Tam H Nguyen,QIMR Berghofer Medical Research Institute,
Tan M. Nguyen,Tan Minh Nguyen,Rice University/UCLA,machine learning
Dung D. Le,Dung Le,Johns Hopkins University,
Duy Khuong Nguyen,Khuong Duy Nguyen,"Lecturer, Ho Chi Cinh City University of Technology (HCMUT) - VNU-HCM","isogeometric analysis,functionally graded material,fracture,phase field"
Viet-Anh Tran,Viet Anh TRAN,Unknown affiliation,"speech recognition,speech synthesis,speaker embeddings,recommender system,machine learning"
Richard G. Baraniuk,,,
Nhat Ho,Nhat Ho,"University of Texas, Austin","machine learning,statistics,optimization,optimal transport,bayesian inference"
Stanley J. Osher,,,
Grey Kuling,Grey Kuling,University of Toronto,medical biophysics
Dr. Belinda Curpen,,,
Anne L. Martel,,,
Yuwei Sun,Yuwei Sun,University of Tokyo,"neural networks,ai security"
Ng Chong,Chong Ng,ORE Catapult,
Hideya Ochiai,Hideya Ochiai,The University of Tokyo,"distributed ai,cyber security,iot"
Khaled Koutini,Khaled Koutini,Johannes Kepler University Linz,machine learning
Jan Schlüter,Jan Schlüter,Johannes Kepler University Linz (JKU),"deep learning,audio processing,music information retrieval,machine listening"
Hamid Eghbal-zadeh,Hamid Eghbal-zadeh,Meta,"artificial intelligence,machine learning,deep learning,reinforcement learning"
Gerhard Widmer,Gerhard Widmer,"Professor of Computer Science, Johannes Kepler University Linz","artificial intelligence,machine learning,sound and music computing,music information retrieval,computational musicology"
Kabir Nagrecha,Kabir Nagrecha,"University of California, San Diego","ml systems,deep learning,machine learning,databases,optimization"
Arun Kumar,Arun Kumar,Space Science,space
Xiaowei Yuan,Xiaowei Yuan,Unknown affiliation,
Jingyuan Hu,Jingyuan Hu,Baylor College of Medicine,"computational biology,bioinformatics,data science"
Xiaodan Zhang,Xiaodan Zhang,Professor of Nankai University,"solar cells,microcrystalline silicon,zno,light trapping,plasma"
Honglei Lv,Hong-Lei Wang,Lund University,
Ali-Reza Feizi-Derakhshi,Ali-Reza Feizi-Derakhshi,"Computerized Intelligence Systems Laboratory, University of Tabriz","artificial intelligence,natural language processing"
Mohammad-Reza Feizi-Derakhshi,Mohammad-Reza Feizi-Derakhshi,"Full Professor of Computer Engineering, University of Tabriz","natural language processing,social network analysis,optimization,text mining,database"
Majid Ramezani,Majid Ramezani,Baqiyatallah  university of medical sciences,endocrinology & diabetes
Narjes Nikzad-Khasmakhi,Narjes Nikzad-Khasmakhi,"Department of Computer Engineering, University of Tabriz, Tabriz, Iran","graph representation learning,question-answering systems,recommendation systems,deep learning,natural language processing"
Meysam Asgari-Chenaghlu,Meysam Asgari-Chenaghlu,"Department of Computer Engineering, University of Tabriz, Tabriz","natural language processing,deep learning,machine learning,cryptography,chaos"
Taymaz Akan,Taymaz Akan (R. Farshi),Louisiana State University,"image processing,metaheuristic,evolutionary computation,swarm intelligence"
Mehrdad Ranjbar-Khadivi,Mehrdad Ranjbar-Khadivi,"Computerized Intelligence Systems Laboratory, Department of Computer Engineering, University of","artificial intelligence,classification,machine learning,evolutionary algorithm"
Elnaz Zafarni-Moattar,,,
Zoleikha Jahanbakhsh-Naghadeh,,,
Natan Levy,Natan Levy,"Ph.D. student, School of Computer Science and Engineering, The Hebrew University of Jerusalem.",robustness and verification of machine-mearning models deployed on safety-critical systems
Guy Katz,Guy Katz,The Hebrew University of Jerusalem,"verification,software engineering"
Yutai Hou,Yutai Hou,Harbin Institute of Technology,"natural language processing,dialogue,meta learning,few-shot learning"
Gang Xiao,Gang Xiao,"Ford Foundation Professor of Physics and Professor of Engineering, Brown University, Providence, RI","spintronics,nanoscale physics,magnetism,quantum materials & devices,condensed matter physics"
Yulong Shen,Yulong Shen,Xidan University,computer security
Wei Jiang,Wei Jiang,Medical University of South Carolina,hiv and sle immunopathogenesis
Xinyu Hu,Xinyu Hu,Uber AI Labs,machine learning
Jinghui Peng,,,
Archit Parnami,Archit Parnami,University of North Carolina at Charlotte,"machine learning,computer vision"
Rahul Singh,Rahul Singh,research scholar,aquaculture
Tarun Joshi,Tarun Joshi,University of Cincinnati,
Zhe Zhou,Zhe Zhou,Fudan University,cyber security
Junlin Liu,Liu Junling,Peking University,"generative adversarial network,temporal action localization"
Zhenyu Gu,Zhenyu Gu,Alibaba Group,"high performance computing,deep learning,eda"
Guangyu Sun,Guangyu Sun,"Center for Energy Efficient Computing and Applications, Peking University","computer architecture,non-volatile memory,domain-specific acceleration"
Jinghan Yao,,,
Weiguo Gao,Weiguo Gao,BUPT,natural language processing
Chunjing Xu,XU chunjing,Huawei Technologies,"machine learning,computer vision,optimization"
Tao Xiang,Tao Xiang,University of Surrey,"computer vision,image processing,pattern recognition,data mining,machine learning"
Yuichiro Koyama,,,
Naoki Murata,Naoki Murata,Sony Group Corporation,"machine learning,acoustic signal processing"
Stefan Uhlich,Stefan Uhlich,"Sony Europe B.V., ZNL Deutschland",
Giorgio Fabbro,Giorgio Fabbri,CNRS (GAEL -Laboratoire de Economie Appliquée de Grenoble),"environmental economics,economic growth,macroeconomics"
Shusuke Takahashi,Takahashi Shusuke,Tokyo Institute of Technology,
Yuki Mitsufuji,Yuki Mitsufuji,"Distinguished Engineer, Sony; Specially Appointed Associate Professor, Tokyo Institute of Technology","generative modeling,source separation,music technology,spatial audio"
Chengyi Wang,Chengyi Wang,Nankai University,"speech recognition,speech translation"
Yao Qian,Yao Qian,Microsoft,deep learning - spoken language processing - computer aided language learning - deep learning
Jinyu Li,Jinyu Li,"Partner Applied Scientist, Microsoft","automatic speech recognition,robust speech recognition,acoustic modeling,speech recognition"
Derek Chen,Derek Chen,"Research Scientist, ASAPP","data efficiency,data augmentation,denoising,dialogue systems"
Zhou Yu,Zhou Yu,Columbia University,"dialog systems,multimodal analysis,speech and natural language processing,artificial intelligence"
Samuel R. Bowman,Samuel R. Bowman,"Assistant Professor, NYU","natural language processing,representation learning,computational linguistics,crowdsourcing,ai alignment"
Shengwei Li,"Sheng-Wei, Lee",National Taipei University of Technology,"autonomous vehicle,slam"
Zhiquan Lai,,,
Dongsheng Li,Dongsheng Li,National University of Defense Technology,"distributed computing,big data"
Yiming Zhang,Yiming Zhang,Hebei University of Technology,"civil engineering,geomechanics,computational mechanics"
Xiangyu Ye,,,
Yabo Duan,,,
Benjamin L. Edelman,Benjamin L. Edelman,Harvard University,theoretical computer science
Surbhi Goel,Surbhi Goel,"Postdoctoral Researcher, Microsoft Research NYC","learning theory,machine learning"
Sham Kakade,Sham M Kakade,Harvard University,"machine learning,artificial intelligence,statistics,optimization"
Cyril Zhang,Cyril Zhang,Microsoft Research,"learning,algorithms"
Ahtsham Manzoor,Ahtsham Manzoor,University of Klagenfurt,"conversational ai,recommender systems,nlp,hci,assistive technologies"
Dietmar Jannach,Dietmar Jannach,"University of Klagenfurt, Austria; University of Bergen, Norway","recommender systems,artificial intelligence,software engineering"
Ayush Pancholy,Ayush Pancholy,"University of California, Berkeley","nlp,frame semantics"
Miriam R. L. Petruck,Miriam RL Petruck,International Computer Science Institute,"frame semantics,construction grammar,resource development,meaning representation,framenet and natural language processing"
Swabha Swayamdipta,Swabha Swayamdipta,Allen Institute of Artificial Intelligence,"natural language processing,machine learning"
Jennifer Lee,Jennifer C. Lee,"Senior Investigator, National Institutes of Health","protein misfolding,amyloid,fluorescence,membranes,lysosome"
Antoine Bosselut,Antoine Bosselut,EPFL,"natural language processing,machine learning,commonsense representation and reasoning"
Tom Mitchell,Tom Mitchell,"Founders University Professor of Machine Learning, Carnegie Mellon University","machine learning,cognitive neuroscience,natural language understanding"
Wei Huang,Wei Huang,Unknown affiliation,"environmental remote sensing,gis,hydrology,karst landform"
Yihua Zhao,Yihua Zhao,"Boehringer Ingelheim Pharmaceuticals, Inc.","biostatistics,statistics,clinical trial,bayesian,adaptive design"
Xinyun Yang,,,
Zhaoming Pan,,,
Zhimin Zhang,Zhimin Zhang,"Professor of Mathematics, Wayne State University","numerical analysis,superconvergence"
Guiquan Liu,,,
Julia Rozanova,Julia Rozanova,"Associate Research Scientist, Yale University","hiv,aging,mental health,addiction"
Deborah Ferreira,Deborah Ferreira,PhD student  - Computer Science - The University of Manchester,"natural language processing,machine learning"
Krishna Dubba,Krishna Sandeep Reddy Dubba,Unknown affiliation,"machine learning,artificial intelligence,cognitive vision"
Weiwei Cheng,Weiwei Cheng,Senior Scientist at Amazon,"machine learning,natural language processing,artificial intelligence"
Dell Zhang,Dell Zhang,ByteDance AI Lab,"machine learning,information retrieval,natural language processing"
Andre Freitas,André Freitas,University of Manchester | Idiap Research Institute,"artificial intelligence,natural language processing,explainable ai,natural language inference"
Jian Cui,Jian Cui,Helmholtz Pioneer Campus,
Kwanwoo Kim,Kwanwoo Kim,KAIST doctoral student,"data-driven security,cyber threat intelligence,social influence"
Seung Ho Na,Seung Ho Na,KAIST,"ai security,data-driven security"
Seungwon Shin,Seungwon Shin,KAIST,"security,system,cti,sdn,nfv"
Matthew Matero,Matthew Matero,"PhD Student, Stony Brook University","computer science,computational linguistics,natural language processing"
Nikita Soni,Nikita Soni,"Assistant Professor, University of Illinois Chicago","computer science,human-computer interaction,child-computer interaction,education technology,collaborative learning"
Niranjan Balasubramanian,Niranjan Balasubramanian,"Assistant Professor, Computer Science, Stony Brook University",natural language processing
H. Andrew Schwartz,H. Andrew Schwartz,Stony Brook University,"natural language processing,human centered nlp,computational psychology,artificial intelligence,unbias in ai"
Daniela N. Rim,,,
DongNyeong Heo,DongNyeong Heo,"Handong Global University, Ph.D Student","machine learning,deep learning,natural language processing"
Shijie Chen,Shijie Chen,"PhD Student, The Ohio State University","natural language processing,machine learning"
Qiang Yang,Qiang Yang,Assistant Professor at Western Michigan University,"green chemicals,renewable energy,sustainable materials,and nanomaterials"
Meghana Moorthy Bhat,Meghana Moorthy Bhat,"Ph.D student, Ohio State University","natural language processing,representation learning"
Alessandro Sordoni,Alessandro Sordoni,Microsoft Research,"artificial intelligence,information retrieval,deep learning"
Subhabrata Mukherjee,Subhabrata Mukherjee,Microsoft Research,"natural language understanding,machine learning,deep learning"
Robert E. Wray,,,
III,Gary King,"Albert J Weatherhead III University Professor, Harvard University","social scientist,political scientist,statistician"
James R. Kirk,James R. Kirk,"Research Scientist, Center for Integrated Cognition","cognitive architectures,interactive task learning,artificial intelligence"
John E. Laird,,,
Youyang Sha,,,
Yonghong Zhang,Yonghong Zhang,Healthcare System,otolaryngology
Xuquan Ji,,,
Lei Hu,Lei Hu,Chinese Academy of Sciences,
Amine Abdaoui,Amine Abdaoui,Huawei Research,"natural language processing,machine learning,biomedical informatics"
Mohamed Berrimi,Mohamed Berrimi,PhD student,deep learning
Mourad Oussalah,Mourad Oussalah,University of Oulu,"social media,data mining,robotics,data fusion,computer vision"
Abdelouahab Moussaoui,Abdelouahab MOUSSAOUI,"Professeur d'informatique, Université Ferhat Abbas - Sétif 1","deep and machine learning,data mining and computational intelligence,medical imaging and signals,bioinformatic"
Tiago Pimentel,Tiago Pimentel,University of Cambridge,"natural language processing,information theory,machine learning"
Clara Meister,Clara Meister,ETH Zürich,
Simone Teufel,Simone Teufel,"Professor of Computer Science, Cambridge University",computational linguistics
Francesco Sovrano,Francesco Sovrano,"PhD Student, University of Bologna","deep reinforcement learning,explainable and trustworthy artificial intelligence,human-computer interaction"
Fabio Vitali,Fabio Vitali,"Professor of Computer Science, University of Bologna","markup languages,semantic web,web technologies,folksonomies,versioning"
Liane Guillou,Liane Guillou,"School of Informatics, University of Edinburgh","entailment graphs,open information extraction,modality,uncertainty detection"
Sander Bijl de Vroe,Sander Bijl de Vroe,University of Edinburgh,"computational linguistics,natural language processing"
Mohammad Javad Hosseini,Mohammad Javad Hosseini,Google Research,"natural language processing,machine learning"
Mark Johnson,Mark Johnson,"Professor of Philosophy, University of Oregon","cognitive science,philosophy of language,moral theory,aesthetics,american philosophy"
Mark Steedman,Mark Steedman,"Professor of Cognitive Science, School of Informatics, University of Edinburgh","computational linguistics and natural language processing,artificial intelligence,computational musical  analysis,linguistics"
Xiyang Zhang,,,
Muhao Chen,Muhao Chen,"Assistant Research Professor of Computer Science, USC","natural language understanding,knowledge acquisition,information extraction,computational biology"
Jonathan May,Jonathan May,"University of Southern California, Information Sciences Institute","machine translation,machine learning,natural language processing"
Zirui Wang,Zirui Wang,Google Brain,machine learning
Shaoning Xiao,Shaoning Xiao,Zhejiang University,
Long Chen,Long Chen,Unknown affiliation,
Jian Shao,Jian Shao,Zhejiang University,"unstructured data management,cross media analysis and retrieval"
Jun Xiao,Jun XIAO,"Institute of Artificial Intelligence, Zhejiang University","computer animation,digital entertainment,multimedia analysis"
Ludan Ruan,,,
Qin Jin,Qin Jin,中国人民大学信息学院,人工智能
Srikanth Raj Chetupalli,Srikanth Raj Chetupalli,Indian Institute of Science,speech and audio processing
Thippur V. Sreenivas,,,
Yi Huang,Yi Huang,Peking university,
Buse Giledereli,Buse Giledereli,ETH Zürich,"data science,nlp"
Abdullatif Köksal,Abdullatif Köksal,CIS - Ludwig Maximillian University of Munich,natural language processing
Arzucan Özgür,Arzucan Ozgur,"Department of Computer Engineering, Bogazici University","bioinformatics,natural language processing,bionlp"
Elif Ozkirimli,Elif Ozkirimli,"Head of Data Science and Advanced Analytics, Roche","bioinformatics,computational biology,structural biology,natural language processing"
Bhanuka Manesha Samarasekara Vitharana Gamage,,,
Lim Chern Hong,CHERN HONG LIM,"Lecturer, Monash University Malaysia","artificial intelligence,machine learning,image processing,computer vision,fuzzy logic"
Kaihao Guo,,,
Tianpei Jiang,Tianpei Jiang,ShanghaiTech Unviersity,"statistics,financial modelling,data mining"
Haipeng Zhang,Haipeng Zhang,ShanghaiTech University,"data mining,geo-spatial data mining,web mining,social computing,fintech"
Shengcai Liu,Shengcai Liu,Southern University of Science and Technology of China,"combinatorial optimization,algorithm portfolios,adversarial machine learning"
Ning Lu,Ning Lu,Colorado School of Mines,"unsaturated soils,slope stability,geoenvironmental engineering,soil mechanics,unsaturated soil mechanics"
Cheng Chen,Ching-Fu Chen,National Cheng Kung University,
Ke Tang,Ke Tang,"Professor, Southern University of Science and Technology","artificial intelligence,evolutionary computation,machine learning"
Damián Blasi,Damián E. Blasi,Harvard University and Max Planck Institute for Evolutionary Anthropology,"linguistic diversity,human cognition,cultural evolution,computational social sciences,evolutionary anthropology"
Anne Maass,Anne Maass,University of Padua,social psychology
Michele Pavon,michele pavon,"professor of mathematics, University of Padova","control theory,probability,mathematical physics,applied mathematics"
Caterina Suitner,Caterina Suitner,Università degli Studi di Padova,"social cognition,embodiment,spatial agency bias,stereotypes,metaphors"
Kailong Hao,,,
Botao Yu,,,
Alexey Letunovskiy,Aleksey Letunovskiy,"Engineer, Huawei corp","discrete mathematics,error correction coding,video compression,deep learning"
Vladimir Korviakov,Vladimir Korviakov,Huawei Technologies,"human spaceflight,computer vision,machine learning,deep learning,human machine interfaces"
Vladimir Polovnikov,Vladimir Polovnikov,Moscow State University,"artificial intelligence,neural networks,machine learning,computer vision,graph theory"
Anastasiia Kargapoltseva,,,
Ivan Mazurenko,Ivan Mazurenko,"Senior researcher, Mechanics and Math Faculty, Lomonosov Moscow State University","digital signal processing,image processing,computer vision,machine learning,deep learning"
Yepan Xiong,,,
M Saiful Bari,M Saiful Bari,"Ph.D. student, Nanyang Technological University","machine learning,deep learning,natural language processing"
Batool Haider,Batool A Haider,Harvard School of Public Health,"epidemiology,nutrition,maternal and child health,micronutrient supplementation,hiv"
Saab Mansour,Saab Mansour,RWTH Aachen University,"statistical machine translation,natural language processing,machine learning"
Leixian Shen,,,
Enya Shen,Enya Shen,"Postdoctoral of Computer Science, Tsinghua University","visualization,big data"
Xiaocong Yang,Xiaocong Yang,Tsinghua University,natural language processing
Xuming Hu,Xuming Hu,"Ph.D. Student,Tsinghua University","natural language processing,information extraction"
